,case:concept:name,concept:name,time:timestamp
2050,Case 445,Closed,2011-07-01 09:30:33
2051,Case 446,Assign seriousness,2013-04-11 11:06:13
2052,Case 446,Take in charge ticket,2013-04-29 07:58:49
2053,Case 446,Wait,2013-04-29 08:29:49
2054,Case 446,Resolve ticket,2013-04-30 15:01:23
2055,Case 446,Closed,2013-05-15 15:01:37
2056,Case 447,Assign seriousness,2013-03-13 17:27:23
2057,Case 447,Resolve ticket,2013-03-29 10:28:24
2058,Case 447,Closed,2013-04-13 09:28:47
2059,Case 448,Assign seriousness,2012-06-12 15:20:01
2060,Case 448,Take in charge ticket,2012-06-13 10:35:07
2061,Case 448,Wait,2012-06-26 13:36:43
2062,Case 448,Resolve ticket,2012-06-29 13:27:09
2063,Case 448,Closed,2012-07-18 15:20:37
2064,Case 449,Assign seriousness,2011-03-09 11:49:32
2065,Case 449,Take in charge ticket,2011-03-09 11:49:53
2066,Case 449,Wait,2011-03-09 11:53:22
2067,Case 449,Take in charge ticket,2011-03-10 13:20:24
2068,Case 449,Resolve ticket,2011-03-10 13:21:03
2069,Case 449,Closed,2011-04-27 12:20:36
2070,Case 450,Assign seriousness,2010-10-07 15:56:55
2071,Case 450,Take in charge ticket,2010-10-07 15:57:26
2072,Case 450,Resolve ticket,2010-10-08 08:44:11
2073,Case 450,Closed,2010-11-20 17:00:35
2074,Case 451,Assign seriousness,2011-07-08 14:17:10
2075,Case 451,Assign seriousness,2011-07-13 09:15:33
2076,Case 451,Take in charge ticket,2011-07-13 12:27:47
2077,Case 451,Resolve ticket,2011-07-13 12:29:32
2078,Case 451,Closed,2011-08-21 14:20:33
2079,Case 452,Assign seriousness,2010-11-30 17:09:16
2080,Case 452,Take in charge ticket,2010-12-06 08:08:44
2081,Case 452,Resolve ticket,2010-12-06 16:31:43
2082,Case 452,Closed,2011-01-01 17:00:34
2083,Case 453,Assign seriousness,2012-05-23 07:56:57
2084,Case 453,Take in charge ticket,2012-05-23 07:57:05
2085,Case 453,Resolve ticket,2012-05-25 12:31:15
2086,Case 453,Resolve ticket,2012-05-25 12:31:15
2087,Case 453,Closed,2012-06-27 08:01:06
2088,Case 454,Assign seriousness,2011-11-08 15:52:09
2089,Case 454,Take in charge ticket,2011-11-08 15:52:23
2090,Case 454,Resolve ticket,2011-11-08 16:20:00
2091,Case 454,Closed,2011-12-09 16:01:08
2092,Case 455,Assign seriousness,2010-07-01 08:33:32
2093,Case 455,Take in charge ticket,2010-07-12 09:25:59
2094,Case 455,Wait,2010-07-14 14:04:12
2095,Case 455,Take in charge ticket,2010-07-21 08:23:02
2096,Case 455,Resolve ticket,2010-07-21 08:23:11
2097,Case 455,Closed,2010-08-05 08:23:24
2098,Case 456,Assign seriousness,2013-04-19 14:03:02
2099,Case 456,Take in charge ticket,2013-05-30 15:11:41
2100,Case 456,Resolve ticket,2013-05-31 13:36:30
2101,Case 456,Closed,2013-06-15 13:36:44
2102,Case 457,Assign seriousness,2011-12-07 11:31:32
2103,Case 457,Take in charge ticket,2011-12-07 11:41:28
2104,Case 457,Resolve ticket,2011-12-07 17:02:54
2105,Case 457,Closed,2012-01-07 11:40:36
2106,Case 458,Assign seriousness,2012-07-20 10:19:26
2107,Case 458,Take in charge ticket,2012-07-26 15:34:07
2108,Case 458,Resolve ticket,2012-08-28 10:19:09
2109,Case 458,Closed,2012-09-12 10:19:25
2110,Case 459,Assign seriousness,2011-10-05 08:52:36
2111,Case 459,Take in charge ticket,2011-10-18 09:24:51
2112,Case 459,Resolve ticket,2011-10-18 15:36:27
2113,Case 459,Closed,2011-11-20 10:00:27
2114,Case 460,Assign seriousness,2011-02-25 16:54:09
2115,Case 460,Take in charge ticket,2011-02-28 11:00:58
2116,Case 460,Resolve ticket,2011-02-28 12:01:29
2117,Case 460,Closed,2011-04-01 16:00:29
2118,Case 461,Assign seriousness,2012-03-28 09:02:20
2119,Case 461,Take in charge ticket,2012-03-28 09:49:03
2120,Case 461,Wait,2012-03-30 07:52:33
2121,Case 461,Resolve ticket,2012-04-16 08:48:18
2122,Case 461,Closed,2012-05-02 10:01:40
2123,Case 462,Assign seriousness,2012-05-15 08:39:10
2124,Case 462,Take in charge ticket,2012-05-15 08:39:18
2125,Case 462,Require upgrade,2012-05-15 15:46:35
2126,Case 462,Resolve ticket,2012-06-01 12:07:34
2127,Case 462,Closed,2012-06-16 12:07:48
2128,Case 463,Assign seriousness,2011-11-10 09:20:49
2129,Case 463,Take in charge ticket,2011-11-10 09:21:08
2130,Case 463,Resolve ticket,2011-12-13 16:45:19
2131,Case 463,Resolve ticket,2011-12-13 16:45:20
2132,Case 463,Closed,2011-12-28 16:45:31
2133,Case 464,Assign seriousness,2011-10-07 08:30:01
2134,Case 464,Take in charge ticket,2011-10-07 14:08:34
2135,Case 464,Resolve ticket,2011-10-14 08:03:04
2136,Case 464,Resolve ticket,2011-10-14 08:03:04
2137,Case 464,Closed,2011-11-09 09:40:28
2138,Case 465,Assign seriousness,2011-06-30 15:05:37
2139,Case 465,Assign seriousness,2011-06-30 15:05:53
2140,Case 465,Take in charge ticket,2011-07-05 10:38:12
2141,Case 465,Resolve ticket,2011-07-05 12:14:52
2142,Case 465,Closed,2011-08-02 15:10:24
2143,Case 466,Assign seriousness,2012-06-15 14:58:32
2144,Case 466,Take in charge ticket,2012-06-15 15:35:08
2145,Case 466,Resolve ticket,2012-06-18 10:34:55
2146,Case 466,Closed,2012-07-18 15:00:37
2147,Case 467,Assign seriousness,2013-08-30 15:22:29
2148,Case 467,Take in charge ticket,2013-09-10 10:02:15
2149,Case 467,Wait,2013-09-17 07:29:12
2150,Case 467,Take in charge ticket,2013-09-26 08:09:19
2151,Case 467,Require upgrade,2013-09-30 10:41:33
2152,Case 467,Resolve ticket,2013-10-04 15:03:32
2153,Case 467,Closed,2013-10-19 15:03:53
2154,Case 468,Assign seriousness,2011-02-02 14:17:34
2155,Case 468,Take in charge ticket,2011-02-04 14:48:04
2156,Case 468,Wait,2011-02-08 14:55:03
2157,Case 468,Take in charge ticket,2011-02-17 09:18:28
2158,Case 468,Resolve ticket,2011-02-17 09:18:39
2159,Case 468,Closed,2011-03-31 07:40:56
2160,Case 469,Assign seriousness,2010-05-03 11:18:49
2161,Case 469,Take in charge ticket,2010-05-03 11:20:03
2162,Case 469,Wait,2010-05-03 11:29:31
2163,Case 469,Take in charge ticket,2010-05-03 12:15:04
2164,Case 469,Resolve ticket,2010-05-03 12:15:12
2165,Case 469,Closed,2010-06-16 11:00:37
2166,Case 470,Assign seriousness,2013-08-02 14:10:16
2167,Case 470,Take in charge ticket,2013-08-16 09:17:37
2168,Case 470,Wait,2013-08-20 09:27:37
2169,Case 470,Resolve ticket,2013-09-12 09:58:26
2170,Case 470,Closed,2013-09-27 09:58:40
2171,Case 471,Assign seriousness,2011-05-24 08:27:52
2172,Case 471,Take in charge ticket,2011-05-24 08:28:14
2173,Case 471,Wait,2011-05-27 14:02:35
2174,Case 471,Take in charge ticket,2011-06-03 13:21:28
2175,Case 471,Resolve ticket,2011-06-03 13:21:36
2176,Case 471,Closed,2011-07-01 07:50:37
2177,Case 472,Assign seriousness,2012-07-23 14:02:04
2178,Case 472,Take in charge ticket,2012-07-23 15:04:26
2179,Case 472,Resolve ticket,2012-08-27 15:52:11
2180,Case 472,Closed,2012-09-11 15:52:24
2181,Case 473,Assign seriousness,2011-01-17 10:10:54
2182,Case 473,Take in charge ticket,2011-01-20 11:01:42
2183,Case 473,Resolve ticket,2011-02-28 09:40:39
2184,Case 473,Closed,2011-03-15 09:40:57
2185,Case 474,Assign seriousness,2013-10-10 15:46:50
2186,Case 474,Assign seriousness,2013-10-11 07:17:05
2187,Case 474,Assign seriousness,2013-10-17 07:07:11
2188,Case 474,Take in charge ticket,2013-10-17 07:07:18
2189,Case 474,Wait,2013-10-31 15:09:21
2190,Case 474,Resolve ticket,2013-11-13 15:54:10
2191,Case 474,Closed,2013-11-28 15:54:28
2192,Case 475,Assign seriousness,2011-04-13 14:43:16
2193,Case 475,Take in charge ticket,2011-04-13 14:44:19
2194,Case 475,Resolve ticket,2011-04-14 13:56:33
2195,Case 475,Closed,2011-06-11 14:52:37
2196,Case 476,Assign seriousness,2011-03-22 15:31:44
2197,Case 476,Take in charge ticket,2011-04-01 14:42:31
2198,Case 476,Wait,2011-04-01 14:42:38
2199,Case 476,Take in charge ticket,2011-04-07 15:40:59
2200,Case 476,Resolve ticket,2011-04-07 15:41:49
2201,Case 476,Closed,2011-04-22 15:41:57
2202,Case 477,Assign seriousness,2012-01-04 08:34:18
2203,Case 477,Take in charge ticket,2012-01-04 08:34:29
2204,Case 477,Resolve ticket,2012-01-04 09:17:14
2205,Case 477,Closed,2012-02-11 08:40:36
2206,Case 478,Assign seriousness,2012-09-20 14:10:58
2207,Case 478,Assign seriousness,2012-09-20 14:11:56
2208,Case 478,Take in charge ticket,2012-09-21 13:52:10
2209,Case 478,Wait,2012-09-27 07:37:43
2210,Case 478,Resolve ticket,2012-10-12 08:57:20
2211,Case 478,Closed,2012-10-27 08:57:32
2212,Case 479,Assign seriousness,2012-05-15 15:30:10
2213,Case 479,Resolve ticket,2012-05-16 07:06:18
2214,Case 479,Closed,2012-06-15 15:41:31
2215,Case 480,Assign seriousness,2012-11-16 15:18:49
2216,Case 480,Take in charge ticket,2012-11-30 16:15:38
2217,Case 480,Resolve ticket,2012-12-03 08:53:51
2218,Case 480,Closed,2012-12-18 08:54:06
2219,Case 481,Assign seriousness,2011-08-31 14:09:49
2220,Case 481,Take in charge ticket,2011-09-01 14:52:37
2221,Case 481,Resolve ticket,2011-09-02 07:18:38
2222,Case 481,Closed,2011-10-01 14:10:35
2223,Case 482,Assign seriousness,2012-07-27 14:35:58
2224,Case 482,Resolve ticket,2012-07-30 08:24:22
2225,Case 482,Resolve ticket,2012-07-30 08:24:22
2226,Case 482,Closed,2012-09-02 14:40:27
2227,Case 483,Assign seriousness,2012-08-08 07:26:16
2228,Case 483,Take in charge ticket,2012-08-08 08:00:42
2229,Case 483,Resolve ticket,2012-08-09 13:29:31
2230,Case 483,Closed,2012-09-08 13:30:02
2231,Case 484,Assign seriousness,2013-04-29 10:11:30
2232,Case 484,Take in charge ticket,2013-05-14 07:10:59
2233,Case 484,Wait,2013-05-14 14:01:26
2234,Case 484,Resolve ticket,2013-05-17 07:17:38
2235,Case 484,Closed,2013-06-01 07:17:56
2236,Case 485,Assign seriousness,2011-07-01 10:24:56
2237,Case 485,Assign seriousness,2011-07-01 10:38:06
2238,Case 485,Take in charge ticket,2011-07-04 09:02:11
2239,Case 485,Resolve ticket,2011-07-04 10:43:18
2240,Case 485,Closed,2011-08-03 10:30:46
2241,Case 486,Assign seriousness,2011-09-26 12:50:47
2242,Case 486,Take in charge ticket,2011-09-26 12:51:45
2243,Case 486,Resolve ticket,2011-09-26 12:57:39
2244,Case 486,Closed,2011-11-09 14:01:25
2245,Case 487,Assign seriousness,2013-01-21 15:46:20
2246,Case 487,Take in charge ticket,2013-02-07 13:31:23
2247,Case 487,Resolve ticket,2013-02-20 11:41:26
2248,Case 487,Closed,2013-03-07 11:41:39
2249,Case 488,Assign seriousness,2011-09-20 07:40:54
2250,Case 488,Take in charge ticket,2011-09-26 13:33:44
2251,Case 488,Resolve ticket,2011-09-27 15:12:04
2252,Case 488,Closed,2011-11-05 08:50:27
2253,Case 489,Assign seriousness,2011-03-24 14:41:51
2254,Case 489,Take in charge ticket,2011-03-24 14:42:08
2255,Case 489,Resolve ticket,2011-03-25 09:19:15
2256,Case 489,Closed,2011-04-28 13:50:37
2257,Case 490,Assign seriousness,2011-07-11 13:49:19
2258,Case 490,Take in charge ticket,2011-07-12 07:52:08
2259,Case 490,Resolve ticket,2011-07-12 08:16:03
2260,Case 490,Closed,2011-08-13 13:50:59
2261,Case 491,Assign seriousness,2012-04-12 15:45:56
2262,Case 491,Take in charge ticket,2012-04-16 07:07:02
2263,Case 491,Wait,2012-04-20 10:41:40
2264,Case 491,Resolve ticket,2012-05-14 14:53:25
2265,Case 491,Closed,2012-05-30 10:00:36
2266,Case 492,Assign seriousness,2012-05-30 15:38:32
2267,Case 492,Take in charge ticket,2012-05-31 06:59:24
2268,Case 492,Resolve ticket,2012-05-31 13:28:36
2269,Case 492,Closed,2012-07-13 15:41:45
2270,Case 493,Assign seriousness,2011-12-22 16:48:48
2271,Case 493,Take in charge ticket,2011-12-27 08:30:02
2272,Case 493,Resolve ticket,2011-12-29 08:36:13
2273,Case 493,Closed,2012-02-04 16:50:24
2274,Case 494,Assign seriousness,2011-03-30 08:29:32
2275,Case 494,Take in charge ticket,2011-03-30 08:30:43
2276,Case 494,Resolve ticket,2011-03-30 13:13:43
2277,Case 494,Closed,2011-05-19 08:30:32
2278,Case 495,Assign seriousness,2012-07-19 15:51:08
2279,Case 495,Take in charge ticket,2012-07-19 15:51:21
2280,Case 495,Resolve ticket,2012-07-20 14:06:41
2281,Case 495,Closed,2012-09-01 16:00:36
2282,Case 496,Assign seriousness,2013-10-29 08:36:22
2283,Case 496,Take in charge ticket,2013-10-29 15:18:49
2284,Case 496,Wait,2013-10-30 10:15:59
2285,Case 496,Resolve ticket,2013-11-18 16:31:08
2286,Case 496,Closed,2013-12-03 16:31:27
2287,Case 497,Assign seriousness,2012-07-25 15:40:43
2288,Case 497,Take in charge ticket,2012-07-27 10:55:05
2289,Case 497,Resolve ticket,2012-08-09 13:58:25
2290,Case 497,Closed,2012-09-08 13:58:51
2291,Case 498,Assign seriousness,2012-09-14 07:17:52
2292,Case 498,Take in charge ticket,2012-09-14 07:18:18
2293,Case 498,Resolve ticket,2012-10-02 14:25:04
2294,Case 498,Resolve ticket,2012-10-02 14:25:04
2295,Case 498,Closed,2012-10-17 14:25:18
2296,Case 499,Assign seriousness,2011-01-28 09:01:13
2297,Case 499,Take in charge ticket,2011-01-28 13:49:49
2298,Case 499,Resolve ticket,2011-01-31 08:58:40
2299,Case 499,Closed,2011-03-13 09:11:05
2300,Case 500,Assign seriousness,2011-03-03 09:50:46
2301,Case 500,Take in charge ticket,2011-03-22 09:19:41
2302,Case 500,Resolve ticket,2011-03-22 15:41:22
2303,Case 500,Closed,2011-04-21 14:41:42
2304,Case 501,Assign seriousness,2012-06-04 13:18:30
2305,Case 501,Assign seriousness,2012-06-04 13:30:53
2306,Case 501,Take in charge ticket,2012-06-05 06:58:08
2307,Case 501,Resolve ticket,2012-06-06 15:16:24
2308,Case 501,Closed,2012-07-18 13:21:22
2309,Case 502,Assign seriousness,2012-09-24 07:37:21
2310,Case 502,Take in charge ticket,2012-09-25 07:11:43
2311,Case 502,Resolve ticket,2012-10-26 10:32:20
2312,Case 502,Closed,2012-11-10 11:32:39
2313,Case 503,Assign seriousness,2012-09-04 15:47:56
2314,Case 503,Take in charge ticket,2012-09-05 09:53:57
2315,Case 503,Create SW anomaly,2012-09-05 10:07:42
2316,Case 503,Require upgrade,2012-10-18 08:33:48
2317,Case 503,Resolve ticket,2012-10-19 09:02:02
2318,Case 503,Closed,2012-11-03 10:02:21
2319,Case 504,Assign seriousness,2013-04-24 09:05:18
2320,Case 504,Take in charge ticket,2013-04-24 09:32:46
2321,Case 504,Wait,2013-05-08 12:45:32
2322,Case 504,Resolve ticket,2013-05-16 12:28:25
2323,Case 504,Closed,2013-05-31 12:28:42
2324,Case 505,Assign seriousness,2012-01-20 14:25:53
2325,Case 505,Take in charge ticket,2012-01-20 14:26:12
2326,Case 505,Resolve ticket,2012-02-01 15:22:25
2327,Case 505,Closed,2012-02-22 14:30:19
2328,Case 506,Assign seriousness,2012-12-18 14:44:59
2329,Case 506,Take in charge ticket,2013-01-03 08:34:01
2330,Case 506,Require upgrade,2013-01-03 08:37:43
2331,Case 506,Resolve ticket,2013-01-14 14:38:27
2332,Case 506,Closed,2013-01-29 14:38:44
2333,Case 507,Assign seriousness,2013-08-26 15:23:16
2334,Case 507,Take in charge ticket,2013-08-27 07:07:04
2335,Case 507,Resolve ticket,2013-09-12 13:45:07
2336,Case 507,Closed,2013-09-27 13:45:20
2337,Case 508,Assign seriousness,2012-02-23 13:43:24
2338,Case 508,Take in charge ticket,2012-02-23 13:43:39
2339,Case 508,Wait,2012-02-24 09:44:16
2340,Case 508,Resolve ticket,2012-03-12 10:34:52
2341,Case 508,Closed,2012-03-27 09:35:02
2342,Case 509,Assign seriousness,2010-09-24 10:47:17
2343,Case 509,Take in charge ticket,2010-09-24 15:16:20
2344,Case 509,Wait,2010-09-27 13:41:58
2345,Case 509,Wait,2010-09-28 08:49:02
2346,Case 509,Take in charge ticket,2010-10-04 08:49:45
2347,Case 509,Resolve ticket,2010-10-04 08:50:02
2348,Case 509,Closed,2010-11-18 09:50:29
2349,Case 510,Assign seriousness,2012-07-16 14:00:44
2350,Case 510,Take in charge ticket,2012-07-16 14:00:55
2351,Case 510,Wait,2012-07-23 12:56:58
2352,Case 510,Resolve ticket,2012-08-27 08:28:28
2353,Case 510,Closed,2012-09-11 08:28:42
2354,Case 511,Assign seriousness,2012-04-20 13:48:18
2355,Case 511,Take in charge ticket,2012-04-27 10:48:24
2356,Case 511,Resolve ticket,2012-05-03 10:11:09
2357,Case 511,Closed,2012-05-23 13:50:20
2358,Case 512,Assign seriousness,2011-10-06 10:16:56
2359,Case 512,Take in charge ticket,2011-10-11 13:11:42
2360,Case 512,Wait,2011-10-13 14:29:37
2361,Case 512,Resolve ticket,2011-10-17 15:21:14
2362,Case 512,Closed,2011-11-10 13:20:25
2363,Case 513,Assign seriousness,2011-03-30 10:44:58
2364,Case 513,Take in charge ticket,2011-03-30 10:45:26
2365,Case 513,Resolve ticket,2011-04-04 08:35:45
2366,Case 513,Closed,2011-05-06 10:50:29
2367,Case 514,Assign seriousness,2011-12-27 11:54:23
2368,Case 514,Take in charge ticket,2011-12-27 15:39:22
2369,Case 514,Resolve ticket,2011-12-30 09:04:14
2370,Case 514,Resolve ticket,2011-12-30 09:04:15
2371,Case 514,Closed,2012-02-03 12:01:12
2372,Case 515,Assign seriousness,2011-10-20 08:41:43
2373,Case 515,Take in charge ticket,2011-10-20 08:42:26
2374,Case 515,Resolve ticket,2011-10-20 15:46:08
2375,Case 515,Closed,2011-12-11 09:50:37
2376,Case 516,Assign seriousness,2011-09-01 14:32:33
2377,Case 516,Take in charge ticket,2011-09-05 10:32:40
2378,Case 516,Wait,2011-09-05 12:35:10
2379,Case 516,Resolve ticket,2011-09-15 10:43:36
2380,Case 516,Closed,2011-10-21 13:50:36
2381,Case 517,Assign seriousness,2011-03-01 15:22:55
2382,Case 517,Take in charge ticket,2011-03-01 15:23:19
2383,Case 517,Take in charge ticket,2011-03-01 15:23:50
2384,Case 517,Wait,2011-03-09 15:28:22
2385,Case 517,Take in charge ticket,2011-03-18 10:57:44
2386,Case 517,Resolve ticket,2011-03-18 10:58:27
2387,Case 517,Closed,2011-04-12 10:02:18
2388,Case 518,Assign seriousness,2011-03-25 17:11:16
2389,Case 518,Take in charge ticket,2011-03-25 17:11:53
2390,Case 518,Resolve ticket,2011-04-05 13:04:16
2391,Case 518,Take in charge ticket,2011-04-22 08:10:57
2392,Case 518,Resolve ticket,2011-04-22 09:11:36
2393,Case 518,Closed,2011-05-07 09:11:55
2394,Case 519,Assign seriousness,2012-06-08 08:31:56
2395,Case 519,Take in charge ticket,2012-06-08 08:32:05
2396,Case 519,Resolve ticket,2012-06-08 08:40:26
2397,Case 519,Closed,2012-07-26 08:40:43
2398,Case 520,Assign seriousness,2012-09-28 13:55:43
2399,Case 520,Take in charge ticket,2012-10-12 11:10:56
2400,Case 520,Resolve ticket,2012-10-17 11:41:09
2401,Case 520,Resolve ticket,2012-10-17 11:41:10
2402,Case 520,Closed,2012-11-01 12:41:29
2403,Case 521,Assign seriousness,2012-01-09 10:49:13
2404,Case 521,Take in charge ticket,2012-01-10 08:42:03
2405,Case 521,Resolve ticket,2012-01-10 14:59:48
2406,Case 521,Closed,2012-03-01 10:50:31
2407,Case 522,Assign seriousness,2011-12-02 09:52:07
2408,Case 522,Take in charge ticket,2011-12-05 08:15:04
2409,Case 522,Wait,2011-12-05 08:32:43
2410,Case 522,Resolve ticket,2011-12-12 09:34:29
2411,Case 522,Closed,2012-01-04 10:00:58
2412,Case 523,Take in charge ticket,2013-07-16 10:27:47
2413,Case 523,Wait,2013-07-18 13:43:33
2414,Case 523,Resolve ticket,2013-08-01 15:23:24
2415,Case 523,Closed,2013-08-16 15:23:43
2416,Case 524,Assign seriousness,2011-12-20 14:30:10
2417,Case 524,Take in charge ticket,2011-12-22 14:41:31
2418,Case 524,Resolve ticket,2012-01-03 09:17:57
2419,Case 524,Closed,2012-02-02 09:18:26
2420,Case 525,Assign seriousness,2013-06-19 08:14:16
2421,Case 525,Assign seriousness,2013-06-19 08:14:40
2422,Case 525,Take in charge ticket,2013-07-01 08:55:12
2423,Case 525,Wait,2013-07-01 14:51:10
2424,Case 525,Wait,2013-08-01 15:37:21
2425,Case 526,Assign seriousness,2012-03-05 08:10:32
2426,Case 526,Take in charge ticket,2012-03-06 16:54:43
2427,Case 526,Wait,2012-03-08 14:18:54
2428,Case 526,Resolve ticket,2012-03-20 10:54:02
2429,Case 526,Closed,2012-04-14 14:00:12
2430,Case 527,Assign seriousness,2013-02-20 10:04:37
2431,Case 527,Wait,2013-02-20 10:06:32
2432,Case 527,Assign seriousness,2013-02-21 08:18:56
2433,Case 527,Assign seriousness,2013-02-21 08:19:02
2434,Case 527,Take in charge ticket,2013-03-26 10:27:20
2435,Case 527,Resolve ticket,2013-03-26 14:39:50
2436,Case 527,Closed,2013-04-10 13:40:13
2437,Case 528,Assign seriousness,2012-06-20 07:49:20
2438,Case 528,Take in charge ticket,2012-06-20 07:49:37
2439,Case 528,Resolve ticket,2012-06-26 08:43:45
2440,Case 528,Closed,2012-08-05 07:50:42
2441,Case 529,Assign seriousness,2013-02-12 14:11:11
2442,Case 529,Wait,2013-02-14 11:42:21
2443,Case 529,Wait,2013-03-29 08:04:45
2444,Case 529,Resolve ticket,2013-03-29 09:02:44
2445,Case 529,Closed,2013-04-13 08:02:57
2446,Case 530,Assign seriousness,2013-07-11 16:07:01
2447,Case 530,Take in charge ticket,2013-07-30 07:19:58
2448,Case 530,Wait,2013-07-30 10:34:53
2449,Case 530,Wait,2013-07-31 10:41:23
2450,Case 530,Wait,2013-08-14 12:22:27
2451,Case 530,Resolve ticket,2013-08-14 13:33:56
2452,Case 530,Closed,2013-08-29 13:34:15
2453,Case 531,Assign seriousness,2011-12-05 16:00:57
2454,Case 531,Take in charge ticket,2011-12-06 08:17:04
2455,Case 531,Resolve ticket,2011-12-12 14:49:16
2456,Case 531,Closed,2012-01-05 16:10:21
2457,Case 532,Assign seriousness,2013-03-08 16:58:17
2458,Case 532,Take in charge ticket,2013-03-11 11:37:15
2459,Case 532,Resolve ticket,2013-03-11 17:13:51
2460,Case 532,Take in charge ticket,2013-03-13 10:56:48
2461,Case 532,Wait,2013-03-28 09:48:53
2462,Case 532,Resolve ticket,2013-03-28 11:46:27
2463,Case 532,Closed,2013-04-12 10:46:46
2464,Case 533,Assign seriousness,2012-07-31 14:33:16
2465,Case 533,Take in charge ticket,2012-07-31 15:24:46
2466,Case 533,Resolve ticket,2012-08-07 15:52:51
2467,Case 533,Closed,2012-09-06 15:53:18
2468,Case 534,Assign seriousness,2011-04-19 07:31:48
2469,Case 534,Take in charge ticket,2011-04-19 07:39:52
2470,Case 534,Resolve ticket,2011-04-19 07:40:58
2471,Case 534,Closed,2011-05-26 07:40:34
2472,Case 535,Assign seriousness,2011-12-07 11:06:05
2473,Case 535,Take in charge ticket,2011-12-09 10:32:22
2474,Case 535,Resolve ticket,2011-12-13 14:22:01
2475,Case 535,Closed,2012-01-14 11:10:25
2476,Case 536,Assign seriousness,2011-04-14 13:47:16
2477,Case 536,Take in charge ticket,2011-04-14 16:11:57
2478,Case 536,Resolve ticket,2011-04-15 16:10:51
2479,Case 536,Closed,2011-05-17 13:50:40
2480,Case 537,Assign seriousness,2012-06-01 10:32:53
2481,Case 537,Take in charge ticket,2012-06-01 10:33:15
2482,Case 537,Wait,2012-06-01 12:43:57
2483,Case 537,Resolve ticket,2012-06-26 10:29:03
2484,Case 537,Closed,2012-07-19 09:20:33
2485,Case 538,Assign seriousness,2012-02-08 15:27:05
2486,Case 538,Take in charge ticket,2012-02-08 15:35:36
2487,Case 538,Resolve ticket,2012-02-08 15:37:34
2488,Case 538,Closed,2012-03-10 15:30:20
2489,Case 539,Assign seriousness,2011-05-18 12:24:34
2490,Case 539,Take in charge ticket,2011-05-18 12:24:56
2491,Case 539,Resolve ticket,2011-05-19 10:51:17
2492,Case 539,Closed,2011-06-25 12:32:01
2493,Case 540,Assign seriousness,2010-09-03 09:30:10
2494,Case 540,Take in charge ticket,2010-09-08 09:23:34
2495,Case 540,Resolve ticket,2010-09-08 09:24:25
2496,Case 540,Closed,2010-10-06 09:40:39
2497,Case 541,Assign seriousness,2012-05-15 07:08:40
2498,Case 541,Take in charge ticket,2012-05-15 08:01:25
2499,Case 541,Resolve ticket,2012-05-15 08:29:12
2500,Case 541,Closed,2012-06-15 07:10:59
2501,Case 542,Assign seriousness,2011-09-26 15:22:22
2502,Case 542,Take in charge ticket,2011-09-26 15:55:24
2503,Case 542,Resolve ticket,2011-09-27 10:16:11
2504,Case 542,Closed,2011-11-09 16:30:22
2505,Case 543,Assign seriousness,2011-12-01 15:29:00
2506,Case 543,Take in charge ticket,2011-12-01 15:50:17
2507,Case 543,Resolve ticket,2011-12-05 08:10:24
2508,Case 543,Closed,2012-01-15 02:02:25
2509,Case 544,Assign seriousness,2012-01-11 10:42:25
2510,Case 544,Take in charge ticket,2012-01-11 14:15:21
2511,Case 544,Resolve ticket,2012-01-11 14:21:45
2512,Case 544,Closed,2012-02-11 10:51:03
2513,Case 545,Assign seriousness,2012-02-29 13:58:38
2514,Case 545,Take in charge ticket,2012-02-29 15:33:17
2515,Case 545,Resolve ticket,2012-02-29 15:50:29
2516,Case 545,Closed,2012-04-07 13:00:29
2517,Case 546,Assign seriousness,2011-12-02 09:59:10
2518,Case 546,Take in charge ticket,2011-12-02 10:52:24
2519,Case 546,Resolve ticket,2011-12-02 11:23:36
2520,Case 546,Closed,2012-01-04 10:00:46
2521,Case 547,Assign seriousness,2010-06-30 13:04:35
2522,Case 547,Wait,2010-06-30 13:19:19
2523,Case 547,Take in charge ticket,2010-07-14 07:27:24
2524,Case 547,Wait,2010-07-14 08:07:06
2525,Case 547,Take in charge ticket,2010-08-10 12:41:37
2526,Case 547,Resolve ticket,2010-08-10 12:42:18
2527,Case 547,Closed,2010-08-25 12:42:27
2528,Case 548,Assign seriousness,2011-05-16 08:10:57
2529,Case 548,Take in charge ticket,2011-05-20 10:35:25
2530,Case 548,Wait,2011-05-20 10:47:49
2531,Case 548,Resolve ticket,2011-05-24 09:29:19
2532,Case 548,Closed,2011-06-17 16:00:21
2533,Case 549,Assign seriousness,2012-02-15 09:15:32
2534,Case 549,Take in charge ticket,2012-02-15 11:48:09
2535,Case 549,Resolve ticket,2012-02-29 11:19:14
2536,Case 549,Closed,2012-03-17 09:20:49
2537,Case 550,Assign seriousness,2011-08-26 07:17:43
2538,Case 550,Resolve ticket,2011-08-26 07:26:10
2539,Case 550,Closed,2011-09-28 07:20:19
2540,Case 551,Assign seriousness,2012-07-18 10:53:53
2541,Case 551,Take in charge ticket,2012-07-18 15:54:24
2542,Case 551,Wait,2012-07-25 07:59:53
2543,Case 551,Resolve ticket,2012-08-02 16:07:16
2544,Case 551,Closed,2012-09-01 16:07:36
2545,Case 552,Assign seriousness,2012-06-04 10:55:16
2546,Case 552,Take in charge ticket,2012-06-04 10:55:37
2547,Case 552,Resolve ticket,2012-06-05 07:36:27
